INDEX-1	INDEX-2	TMP-PMI-VALUE	PMI-VALUE	TMP-ALT-PMI-VALUE	ALT-PMI-VALUE
1324	700	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
616	120	1389.9999235500	3.1430147764	20.4411764706	1.3105058875
942	216	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
5	957	92.6666667223	1.9669235415	1.0435435435	0.0185105754
1199	437	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
102	19	139.0000097439	2.1430148307	1.4930182599	0.1740651193
63	1228	1389.9999235500	3.1430147764	19.3055555556	1.2856823038
854	875	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
417	71	695.0000100775	2.8419848109	8.1286549708	0.9100186899
323	1290	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
523	1319	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
15	592	397.1428313569	2.5989467277	5.1865671642	0.7148800062
830	1	49.6428571234	1.6958567687	0.5555555556	-0.2552725051
1344	91	695.0000100775	2.8419848109	8.1286549708	0.9100186899
1277	473	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
873	264	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1221	85	695.0000100775	2.8419848109	8.1286549708	0.9100186899
1347	9	154.4444454912	2.1887722938	1.7353308365	0.2393822842
1067	743	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
90	325	695.0000100775	2.8419848109	8.1286549708	0.9100186899
100	15	198.5714294792	2.2979167622	2.3051409619	0.3626974881
79	666	695.0000100775	2.8419848109	8.1286549708	0.9100186899
81	604	695.0000100775	2.8419848109	8.1286549708	0.9100186899
169	0	27.8000000167	1.4440447962	0.3101294065	-0.5084570520
758	98	695.0000100775	2.8419848109	8.1286549708	0.9100186899
135	1054	695.0000100775	2.8419848109	8.1286549708	0.9100186899
138	961	695.0000100775	2.8419848109	8.1286549708	0.9100186899
223	21	347.5000050388	2.5409548152	4.0643274854	0.6089886942
853	972	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1	1037	49.6428571234	1.6958567687	0.5555555556	-0.2552725051
16	572	231.6666646589	2.3648635461	2.6177024482	0.4179202792
1147	387	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1113	1001	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1110	1094	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1223	34	463.3333293178	2.6658935418	5.3256704981	0.7263742929
400	1016	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
450	1161	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1186	873	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1213	344	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
449	1192	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1343	144	695.0000100775	2.8419848109	8.1286549708	0.9100186899
933	528	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
752	306	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
131	848	695.0000100775	2.8419848109	8.1286549708	0.9100186899
1261	551	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
922	858	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
431	44	463.3333293178	2.6658935418	5.3256704981	0.7263742929
4	955	81.7647060651	1.9125658798	0.9138724523	-0.0391144138
868	848	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
385	1019	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1185	794	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1204	733	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
407	689	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
558	278	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
606	485	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
621	31	463.3333293178	2.6658935418	5.5158730159	0.7416142595
567	10	173.7499995005	2.2399248120	1.9800569801	0.2966776881
362	26	347.5000050388	2.5409548152	3.9601139601	0.5977076838
1144	29	347.5000050388	2.5409548152	3.9601139601	0.5977076838
537	566	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
348	482	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
516	1217	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1259	712	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1222	164	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
428	49	463.3333293178	2.6658935418	5.3256704981	0.7263742929
62	786	695.0000100775	2.8419848109	8.1286549708	0.9100186899
202	727	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
5	858	92.6666667223	1.9669235415	1.0435435435	0.0185105754
737	694	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
62	764	695.0000100775	2.8419848109	8.1286549708	0.9100186899
791	693	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
0	1046	27.8000000167	1.4440447962	0.3101294065	-0.5084570520
22	364	347.5000050388	2.5409548152	3.9601139601	0.5977076838
144	852	695.0000100775	2.8419848109	8.1286549708	0.9100186899
891	212	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
12	630	198.5714294792	2.2979167622	2.2383252818	0.3499232001
29	103	173.7500145950	2.2399248497	1.8758434548	0.2731965923
944	209	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
525	927	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
540	462	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1157	11	198.5714294792	2.2979167622	2.2712418301	0.3562633781
1212	1	49.6428571234	1.6958567687	0.5555555556	-0.2552725051
429	51	463.3333293178	2.6658935418	5.9401709402	0.7737989428
488	357	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
565	105	695.0000100775	2.8419848109	8.1286549708	0.9100186899
524	1376	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
681	339	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1280	28	347.5000050388	2.5409548152	3.9601139601	0.5977076838
1114	1355	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
943	691	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1245	1124	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
2	544	77.2222221493	1.8877422947	0.8676654182	-0.0616477115
3	513	81.7647060651	1.9125658798	0.9193121693	-0.0365369909
1295	3	81.7647060651	1.9125658798	0.9193121693	-0.0365369909
996	754	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
562	176	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1088	37	463.3333293178	2.6658935418	5.5158730159	0.7416142595
318	1379	1389.9999235500	3.1430147764	38.6111111111	1.5867122995
802	396	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
17	508	278.0000001668	2.4440447962	3.1519274376	0.4985762108
7	818	126.3636358007	2.1016221132	1.4300411523	0.1553485353
748	375	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
926	789	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
468	966	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
180	1387	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
197	860	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
568	1	49.6428571234	1.6958567687	0.5555555556	-0.2552725051
355	221	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1252	885	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
936	490	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
925	831	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
13	621	198.5714294792	2.2979167622	2.2712418301	0.3562633781
0	1024	27.8000000167	1.4440447962	0.3101294065	-0.5084570520
43	1386	926.6665942322	2.9669235073	12.4107142857	1.0937967776
731	462	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
259	1073	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
264	918	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1119	705	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
430	240	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
413	63	695.0000100775	2.8419848109	8.1286549708	0.9100186899
330	1293	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
675	129	695.0000100775	2.8419848109	8.1286549708	0.9100186899
1187	1359	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
413	756	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
448	1014	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
377	1190	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
423	468	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
592	666	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
294	351	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
358	414	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
419	559	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1029	83	1389.9999235500	3.1430147764	20.4411764706	1.3105058875
284	694	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
531	521	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
671	231	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1329	325	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1306	1038	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1320	604	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1297	1317	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
402	371	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1125	552	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1010	727	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1368	1141	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
473	206	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1075	682	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1298	1341	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
214	740	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
7	411	126.3636358007	2.1016221132	1.4300411523	0.1553485353
1308	1020	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1128	1064	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
472	1007	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1190	1277	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1197	1060	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
598	1239	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
368	93	695.0000100775	2.8419848109	8.1286549708	0.9100186899
1093	146	1389.9999235500	3.1430147764	20.4411764706	1.3105058875
18	81	139.0000097439	2.1430148307	1.4930182599	0.1740651193
2	577	77.2222221493	1.8877422947	0.8676654182	-0.0616477115
13	236	198.5714294792	2.2979167622	2.2712418301	0.3562633781
3	546	81.7647060651	1.9125658798	0.9193121693	-0.0365369909
1	608	49.6428571234	1.6958567687	0.5555555556	-0.2552725051
306	1	49.6428571234	1.6958567687	0.5555555556	-0.2552725051
1159	224	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1161	162	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1131	1092	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
346	16	231.6666646589	2.3648635461	2.6177024482	0.4179202792
541	134	695.0000100775	2.8419848109	8.1286549708	0.9100186899
501	9	154.4444454912	2.1887722938	1.7353308365	0.2393822842
500	40	463.3333293178	2.6658935418	5.5158730159	0.7416142595
480	0	27.8000000167	1.4440447962	0.3101294065	-0.5084570520
547	58	695.0000100775	2.8419848109	8.1286549708	0.9100186899
20	30	92.6666710158	1.9669235616	1.1819727891	0.0726074785
8	402	139.0000000834	2.1430148005	1.5759637188	0.1975462151
2	588	77.2222221493	1.8877422947	0.8676654182	-0.0616477115
1058	461	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
518	814	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1035	1174	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
544	8	139.0000000834	2.1430148005	1.5759637188	0.1975462151
637	52	463.3333293178	2.6658935418	5.3256704981	0.7263742929
1328	1159	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1331	1066	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1231	1239	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
991	1195	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1348	550	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
626	404	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1311	817	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
637	63	695.0000100775	2.8419848109	8.1286549708	0.9100186899
1334	104	695.0000100775	2.8419848109	8.1286549708	0.9100186899
573	0	27.8000000167	1.4440447962	0.3101294065	-0.5084570520
370	130	695.0000100775	2.8419848109	8.1286549708	0.9100186899
1277	0	27.8000000167	1.4440447962	0.3101294065	-0.5084570520
1271	10	173.7499995005	2.2399248120	1.9800569801	0.2966776881
1161	8	277.9999808458	2.4440447660	3.5824742268	0.5541830747
1268	81	695.0000100775	2.8419848109	8.1286549708	0.9100186899
434	17	278.0000001668	2.4440447962	3.1519274376	0.4985762108
1234	1135	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
388	739	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1258	391	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
960	109	695.0000100775	2.8419848109	8.1286549708	0.9100186899
13	258	198.5714294792	2.2979167622	2.2712418301	0.3562633781
0	661	27.8000000167	1.4440447962	0.3101294065	-0.5084570520
2	599	77.2222221493	1.8877422947	0.8676654182	-0.0616477115
748	1	49.6428571234	1.6958567687	0.5555555556	-0.2552725051
1211	538	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1072	5	92.6666667223	1.9669235415	1.0435435435	0.0185105754
8	435	139.0000000834	2.1430148005	1.5759637188	0.1975462151
22	1	24.8214285617	1.3948267731	0.2641079232	-0.5782185698
954	273	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
458	770	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1299	0	27.8000000167	1.4440447962	0.3101294065	-0.5084570520
608	104	695.0000100775	2.8419848109	8.1286549708	0.9100186899
4	548	81.7647060651	1.9125658798	0.9138724523	-0.0391144138
21	21	86.8750072975	1.9388948541	0.9626038781	-0.0165523930
435	8	139.0000000834	2.1430148005	1.5759637188	0.1975462151
678	113	695.0000100775	2.8419848109	8.1286549708	0.9100186899
637	1384	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1262	498	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
673	268	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1206	704	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
447	1100	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
465	542	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
425	263	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1047	758	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
325	612	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
0	705	27.8000000167	1.4440447962	0.3101294065	-0.5084570520
7	488	126.3636358007	2.1016221132	1.4300411523	0.1553485353
733	510	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1265	1021	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
551	0	27.8000000167	1.4440447962	0.3101294065	-0.5084570520
622	550	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1031	10	173.7499995005	2.2399248120	1.9800569801	0.2966776881
725	769	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1365	67	695.0000100775	2.8419848109	8.1286549708	0.9100186899
924	1170	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
235	1	49.6428571234	1.6958567687	0.5555555556	-0.2552725051
929	1015	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
3	623	408.8235075950	2.6115358600	8.4756097561	0.9281709522
1117	701	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1204	799	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1193	491	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
590	684	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
299	152	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
372	24	1042.4999668138	3.0180760498	16.5476190476	1.2187355142
226	291	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1251	597	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1267	101	695.0000100775	2.8419848109	8.1286549708	0.9100186899
530	420	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
506	1164	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1177	778	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
365	32	463.3333293178	2.6658935418	5.3256704981	0.7263742929
618	25	347.5000050388	2.5409548152	4.0643274854	0.6089886942
1006	642	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
661	739	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
20	129	139.0000097439	2.1430148307	1.4930182599	0.1740651193
0	749	27.8000000167	1.4440447962	0.3101294065	-0.5084570520
14	315	198.5714294792	2.2979167622	2.2383252818	0.3499232001
633	286	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
492	519	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1026	0	27.8000000167	1.4440447962	0.3101294065	-0.5084570520
618	3	81.7647060651	1.9125658798	0.9193121693	-0.0365369909
1259	1361	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
590	882	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
625	501	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
619	687	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
961	1	49.6428571234	1.6958567687	0.5555555556	-0.2552725051
329	1170	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1077	510	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1054	519	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
344	1	49.6428571234	1.6958567687	0.5555555556	-0.2552725051
1074	592	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1093	3	408.8235075950	2.6115358600	8.4756097561	0.9281709522
312	982	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
313	951	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
